"Date;Rented Bike Count;Hour;Temperature(°C);Humidity(%);Wind speed (m/s);Visibility (10m);Dew point temperature(°C);Solar Radiation (MJ/m2);Rainfall(mm);Snowfall (cm);Seasons;Holiday;Functioning Day"
"02/12/2017;606;13;6;36;18;1780;-79;112;0;0;Winter;No Holiday;Yes"
"02/12/2017;611;14;73;35;13;1955;-71;99;0;0;Winter;No Holiday;Yes"
"02/12/2017;589;15;76;41;23;1953;-48;74;0;0;Winter;No Holiday;Yes"
"02/12/2017;618;16;64;48;26;1945;-38;22;0;0;Winter;No Holiday;Yes"
"02/12/2017;572;17;6;51;25;1891;-33;6;0;0;Winter;No Holiday;Yes"
"02/12/2017;489;18;55;53;15;1697;-33;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;385;19;5;52;23;1666;-4;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;359;20;46;51;12;1585;-46;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;377;21;41;55;12;1448;-41;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;354;22;35;54;15;1446;-49;0;0;0;Winter;No Holiday;Yes"
"02/12/2017;366;23;4;56;1;1352;-4;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;342;0;4;58;14;1296;-35;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;227;1;39;69;17;485;-12;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;228;2;33;79;14;830;0;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;117;3;34;71;16;1011;-13;0;5;0;Winter;No Holiday;Yes"
"03/12/2017;76;4;35;73;1;1060;-8;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;32;5;39;75;19;914;-1;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;13;6;34;86;25;278;12;0;1;0;Winter;No Holiday;Yes"
"03/12/2017;22;7;31;91;12;129;17;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;85;8;32;92;18;244;2;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;152;9;35;91;18;231;21;2;25;0;Winter;No Holiday;Yes"
"03/12/2017;200;10;44;89;22;257;27;24;0;0;Winter;No Holiday;Yes"
"03/12/2017;273;11;51;87;14;321;31;25;0;0;Winter;No Holiday;Yes"
"03/12/2017;333;12;58;85;17;349;34;43;0;0;Winter;No Holiday;Yes"
"03/12/2017;495;13;68;81;19;390;37;6;0;0;Winter;No Holiday;Yes"
"03/12/2017;563;14;76;76;12;422;36;69;0;0;Winter;No Holiday;Yes"
"03/12/2017;621;15;8;73;16;433;34;53;0;0;Winter;No Holiday;Yes"
"03/12/2017;598;16;76;77;16;399;38;2;0;0;Winter;No Holiday;Yes"
"03/12/2017;545;17;67;82;15;358;38;5;0;0;Winter;No Holiday;Yes"
"03/12/2017;443;18;6;84;19;327;34;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;422;19;57;85;17;309;33;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;397;20;52;87;14;253;32;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;385;21;47;87;12;247;27;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;350;22;43;89;18;201;26;0;0;0;Winter;No Holiday;Yes"
"03/12/2017;303;23;39;90;13;194;24;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;285;0;42;88;6;216;23;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;186;1;43;87;5;221;23;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;112;2;44;87;18;207;24;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;65;3;36;85;23;206;13;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;41;4;28;89;15;130;11;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;82;5;2;83;27;253;-5;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;200;6;12;76;37;371;-25;0;1;0;Winter;No Holiday;Yes"
"04/12/2017;498;7;2;68;34;702;-5;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;937;8;-8;69;35;954;-57;1;0;0;Winter;No Holiday;Yes"
"04/12/2017;509;9;-15;47;42;1888;-113;22;0;0;Winter;No Holiday;Yes"
"04/12/2017;311;10;-11;40;45;2000;-13;64;0;0;Winter;No Holiday;Yes"
"04/12/2017;379;11;-5;41;41;1799;-121;94;0;0;Winter;No Holiday;Yes"
"04/12/2017;393;12;-3;38;48;1823;-129;111;0;0;Winter;No Holiday;Yes"
"04/12/2017;391;13;0;30;54;1938;-155;117;0;0;Winter;No Holiday;Yes"
"04/12/2017;338;14;1;27;45;2000;-167;109;0;0;Winter;No Holiday;Yes"
"04/12/2017;341;15;-1;25;58;2000;-178;88;0;0;Winter;No Holiday;Yes"
"04/12/2017;375;16;-2;23;47;2000;-188;55;0;0;Winter;No Holiday;Yes"
"04/12/2017;515;17;-13;26;53;2000;-183;18;0;0;Winter;No Holiday;Yes"
"04/12/2017;807;18;-21;29;39;2000;-177;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;568;19;-29;32;32;2000;-173;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;398;20;-36;38;3;2000;-158;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;397;21;-46;43;45;2000;-153;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;353;22;-53;45;25;2000;-153;0;0;0;Winter;No Holiday;Yes"
"04/12/2017;248;23;-58;44;24;2000;-161;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;216;0;-61;42;26;2000;-169;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;198;1;-65;41;28;2000;-176;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;124;2;-68;41;25;2000;-178;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;62;3;-69;39;2;2000;-185;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;42;4;-72;34;3;2000;-204;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;82;5;-74;33;26;2000;-209;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;172;6;-74;34;32;2000;-206;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;381;7;-75;33;22;2000;-21;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;812;8;-81;36;16;2000;-205;1;0;0;Winter;No Holiday;Yes"
"05/12/2017;462;9;-76;31;13;1974;-218;21;0;0;Winter;No Holiday;Yes"
"05/12/2017;269;10;-55;26;28;1967;-22;64;0;0;Winter;No Holiday;Yes"
"05/12/2017;334;11;-39;25;0;1959;-21;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;321;12;-23;25;0;1962;-197;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;325;13;-16;27;0;1955;-182;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;334;14;-11;28;0;2000;-173;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;353;15;-7;28;0;2000;-169;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;435;16;-5;30;0;2000;-16;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;529;17;-16;35;0;2000;-151;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;789;18;-26;40;0;2000;-144;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;597;19;-32;45;0;2000;-135;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;418;20;-35;46;0;2000;-134;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;415;21;-37;47;0;2000;-133;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;393;22;-28;49;0;2000;-12;0;0;0;Winter;No Holiday;Yes"
"05/12/2017;244;23;-25;59;0;1210;-94;0;0;0;Winter;No Holiday;Yes"
"06/12/2017;145;0;-28;77;0;331;-62;0;1;1;Winter;No Holiday;Yes"
"06/12/2017;144;1;-3;79;0;293;-61;0;0;3;Winter;No Holiday;Yes"
"06/12/2017;117;2;-3;79;0;1862;-61;0;0;4;Winter;No Holiday;Yes"
"06/12/2017;78;3;-32;78;0;1808;-64;0;2;4;Winter;No Holiday;Yes"
"06/12/2017;58;4;-34;75;0;1982;-72;0;0;4;Winter;No Holiday;Yes"
"06/12/2017;87;5;-36;76;0;1934;-72;0;0;4;Winter;No Holiday;Yes"
"06/12/2017;142;6;-37;76;0;1864;-73;0;0;4;Winter;No Holiday;Yes"
"06/12/2017;379;7;-42;77;0;1741;-76;0;0;3;Winter;No Holiday;Yes"
"06/12/2017;802;8;-42;78;0;1518;-74;1;0;2;Winter;No Holiday;Yes"
"06/12/2017;440;9;-33;70;0;1324;-79;25;0;2;Winter;No Holiday;Yes"
"06/12/2017;307;10;-9;64;0;1224;-68;63;0;2;Winter;No Holiday;Yes"
"06/12/2017;381;11;16;57;12;1261;-6;93;0;0;Winter;No Holiday;Yes"
"06/12/2017;405;12;24;52;9;1224;-64;108;0;0;Winter;No Holiday;Yes"
"06/12/2017;442;13;42;47;11;1469;-61;11;0;0;Winter;No Holiday;Yes"
"06/12/2017;416;14;55;34;1;1966;-91;96;0;0;Winter;No Holiday;Yes"
"06/12/2017;412;15;55;31;31;1968;-103;72;0;0;Winter;No Holiday;Yes"
"06/12/2017;496;16;53;37;29;2000;-82;36;0;0;Winter;No Holiday;Yes"
"06/12/2017;239;17;41;60;25;1565;-29;1;0;0;Winter;No Holiday;Yes"
"06/12/2017;204;18;17;90;1;66;2;0;3;3;Winter;No Holiday;Yes"
"06/12/2017;205;19;12;92;7;180;0;0;0;1;Winter;No Holiday;Yes"
"06/12/2017;190;20;12;94;6;228;3;0;0;1;Winter;No Holiday;Yes"
"06/12/2017;165;21;11;92;5;235;0;0;7;1;Winter;No Holiday;Yes"
"06/12/2017;222;22;13;92;6;233;1;0;0;1;Winter;No Holiday;Yes"
"06/12/2017;193;23;13;92;6;209;1;0;0;1;Winter;No Holiday;Yes"
"07/12/2017;198;0;14;92;5;240;2;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;218;1;15;92;4;227;3;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;149;2;14;92;7;168;2;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;102;3;19;91;14;218;5;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;62;4;16;92;7;119;4;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;83;5;15;92;11;175;3;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;137;6;1;93;5;148;0;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;367;7;3;93;5;173;-7;0;0;9;Winter;No Holiday;Yes"
"07/12/2017;754;8;-2;96;8;173;-7;1;0;8;Winter;No Holiday;Yes"
"07/12/2017;415;9;1;91;8;265;-11;14;0;8;Winter;No Holiday;Yes"
"07/12/2017;321;10;11;83;7;311;-14;41;0;7;Winter;No Holiday;Yes"
"07/12/2017;333;11;23;69;17;628;-28;63;0;6;Winter;No Holiday;Yes"
"07/12/2017;431;12;37;65;24;833;-22;98;0;3;Winter;No Holiday;Yes"
"07/12/2017;394;13;41;37;31;1767;-93;114;0;0;Winter;No Holiday;Yes"
"07/12/2017;390;14;44;36;27;1975;-94;104;0;0;Winter;No Holiday;Yes"
"07/12/2017;430;15;4;35;31;1962;-101;84;0;0;Winter;No Holiday;Yes"
"07/12/2017;471;16;32;38;29;1817;-97;51;0;0;Winter;No Holiday;Yes"
"07/12/2017;552;17;21;50;2;1434;-72;15;0;0;Winter;No Holiday;Yes"
"07/12/2017;795;18;7;46;27;1558;-96;0;0;0;Winter;No Holiday;Yes"
"07/12/2017;507;19;-4;47;25;1269;-103;0;0;0;Winter;No Holiday;Yes"
"07/12/2017;390;20;-14;47;25;1620;-112;0;0;0;Winter;No Holiday;Yes"
"07/12/2017;402;21;-22;46;22;1975;-122;0;0;0;Winter;No Holiday;Yes"
"07/12/2017;389;22;-27;48;26;1844;-122;0;0;0;Winter;No Holiday;Yes"
"07/12/2017;259;23;-32;50;21;1887;-121;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;233;0;-35;49;26;1893;-126;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;230;1;-37;50;25;1902;-126;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;131;2;-43;53;1;1918;-124;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;99;3;-48;52;16;1978;-131;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;71;4;-53;53;24;1936;-134;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;84;5;-58;56;2;1941;-131;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;158;6;-6;56;35;1853;-133;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;387;7;-65;57;8;1776;-136;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;780;8;-7;59;8;1559;-136;1;0;0;Winter;No Holiday;Yes"
"08/12/2017;395;9;-67;50;9;1492;-154;23;0;0;Winter;No Holiday;Yes"
"08/12/2017;261;10;-53;44;28;1516;-156;63;0;0;Winter;No Holiday;Yes"
"08/12/2017;310;11;-37;39;14;1595;-156;93;0;0;Winter;No Holiday;Yes"
"08/12/2017;355;12;-2;30;14;1728;-173;114;0;0;Winter;No Holiday;Yes"
"08/12/2017;354;13;-17;28;18;1963;-178;122;0;0;Winter;No Holiday;Yes"
"08/12/2017;350;14;-13;27;31;1906;-179;112;0;0;Winter;No Holiday;Yes"
"08/12/2017;362;15;-8;26;33;1977;-179;87;0;0;Winter;No Holiday;Yes"
"08/12/2017;401;16;-11;24;34;2000;-191;56;0;0;Winter;No Holiday;Yes"
"08/12/2017;500;17;-24;30;27;2000;-176;18;0;0;Winter;No Holiday;Yes"
"08/12/2017;752;18;-31;33;12;2000;-171;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;477;19;-33;35;11;2000;-166;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;384;20;-33;34;15;2000;-169;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;336;21;-33;35;5;2000;-166;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;347;22;-34;39;12;2000;-154;0;0;0;Winter;No Holiday;Yes"
"08/12/2017;275;23;-35;43;9;2000;-143;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;267;0;-35;48;9;1967;-129;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;296;1;-41;49;6;2000;-132;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;237;2;-47;50;7;1983;-135;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;169;3;-43;47;6;1992;-139;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;96;4;-43;49;7;2000;-134;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;56;5;-47;49;8;1999;-138;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;76;6;-51;53;9;1975;-132;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;127;7;-55;56;8;1950;-129;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;222;8;-54;56;7;1940;-128;1;0;0;Winter;No Holiday;Yes"
"09/12/2017;291;9;-47;48;1;1784;-14;23;0;0;Winter;No Holiday;Yes"
"09/12/2017;273;10;-22;42;13;1646;-134;61;0;0;Winter;No Holiday;Yes"
"09/12/2017;351;11;0;45;11;1500;-105;89;0;0;Winter;No Holiday;Yes"
"09/12/2017;427;12;24;40;8;1809;-98;105;0;0;Winter;No Holiday;Yes"
"09/12/2017;431;13;39;36;2;1702;-98;113;0;0;Winter;No Holiday;Yes"
"09/12/2017;486;14;47;32;22;1948;-106;106;0;0;Winter;No Holiday;Yes"
"09/12/2017;569;15;52;30;2;1963;-11;84;0;0;Winter;No Holiday;Yes"
"09/12/2017;546;16;44;33;16;1963;-105;4;0;0;Winter;No Holiday;Yes"
"09/12/2017;481;17;35;37;18;1963;-98;1;0;0;Winter;No Holiday;Yes"
"09/12/2017;384;18;25;41;1;1974;-94;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;275;19;15;48;4;1878;-83;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;298;20;8;51;14;1848;-82;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;321;21;-1;55;7;1654;-8;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;289;22;-5;55;6;1655;-84;0;0;0;Winter;No Holiday;Yes"
"09/12/2017;265;23;-1;54;13;1570;-83;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;326;0;-2;55;1;1629;-81;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;280;1;-2;54;5;1747;-84;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;243;2;2;52;7;1726;-85;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;169;3;3;53;5;1748;-81;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;71;4;4;52;16;1816;-83;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;13;5;3;74;1;178;-37;0;0;7;Winter;No Holiday;Yes"
"10/12/2017;9;6;-5;90;9;91;-19;0;25;27;Winter;No Holiday;Yes"
"10/12/2017;20;7;-4;92;11;121;-15;0;0;4;Winter;No Holiday;Yes"
"10/12/2017;35;8;-2;90;12;378;-16;0;0;41;Winter;No Holiday;Yes"
"10/12/2017;31;9;2;90;1;305;-12;0;16;43;Winter;No Holiday;Yes"
"10/12/2017;19;10;5;91;4;143;-8;0;0;43;Winter;No Holiday;Yes"
"10/12/2017;58;11;9;92;9;137;-2;3;0;39;Winter;No Holiday;Yes"
"10/12/2017;119;12;23;88;3;245;5;28;0;31;Winter;No Holiday;Yes"
"10/12/2017;182;13;33;87;11;230;13;54;0;21;Winter;No Holiday;Yes"
"10/12/2017;235;14;42;85;7;325;18;65;0;14;Winter;No Holiday;Yes"
"10/12/2017;180;15;67;63;45;715;1;35;0;1;Winter;No Holiday;Yes"
"10/12/2017;214;16;54;71;35;622;5;2;0;5;Winter;No Holiday;Yes"
"10/12/2017;226;17;36;65;43;1061;-23;3;0;4;Winter;No Holiday;Yes"
"10/12/2017;210;18;2;61;3;2000;-47;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;181;19;16;53;4;2000;-69;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;165;20;6;57;39;1954;-69;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;167;21;0;59;3;1862;-7;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;152;22;-1;56;47;2000;-86;0;0;0;Winter;No Holiday;Yes"
"10/12/2017;148;23;-14;43;43;2000;-123;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;125;0;-25;39;34;2000;-145;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;111;1;-34;36;38;2000;-163;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;67;2;-42;35;34;2000;-174;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;45;3;-47;38;24;2000;-168;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;44;4;-52;35;32;2000;-183;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;86;5;-56;38;32;1974;-176;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;136;6;-59;39;29;1979;-176;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;325;7;-6;39;31;1996;-177;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;653;8;-6;38;36;1994;-18;1;0;0;Winter;No Holiday;Yes"
"11/12/2017;326;9;-59;36;51;1941;-186;1;0;0;Winter;No Holiday;Yes"
"11/12/2017;212;10;-53;32;45;2000;-194;62;0;0;Winter;No Holiday;Yes"
"11/12/2017;226;11;-47;36;38;2000;-175;1;0;0;Winter;No Holiday;Yes"
"11/12/2017;247;12;-52;33;46;1973;-19;126;0;0;Winter;No Holiday;Yes"
"11/12/2017;241;13;-54;32;51;1986;-195;124;0;0;Winter;No Holiday;Yes"
"11/12/2017;253;14;-54;31;41;1945;-199;113;0;0;Winter;No Holiday;Yes"
"11/12/2017;269;15;-55;33;45;2000;-192;92;0;0;Winter;No Holiday;Yes"
"11/12/2017;277;16;-6;40;4;2000;-174;55;0;0;Winter;No Holiday;Yes"
"11/12/2017;361;17;-71;44;42;2000;-173;18;0;0;Winter;No Holiday;Yes"
"11/12/2017;557;18;-79;43;33;2000;-183;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;371;19;-86;45;39;2000;-184;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;254;20;-93;49;38;2000;-18;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;266;21;-97;51;25;2000;-179;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;222;22;-102;50;3;2000;-186;0;0;0;Winter;No Holiday;Yes"
"11/12/2017;174;23;-107;53;12;2000;-184;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;133;0;-11;51;11;2000;-191;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;127;1;-112;51;11;2000;-193;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;95;2;-115;50;7;2000;-198;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;54;3;-116;50;22;1995;-199;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;46;4;-116;47;21;1982;-206;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;65;5;-116;45;28;1951;-211;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;104;6;-118;47;25;1973;-208;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;280;7;-121;50;23;1929;-204;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;580;8;-123;52;13;1914;-201;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;275;9;-118;46;29;1956;-211;1;0;0;Winter;No Holiday;Yes"
"12/12/2017;184;10;-105;45;33;1855;-201;6;0;0;Winter;No Holiday;Yes"
"12/12/2017;201;11;-94;42;31;1815;-199;93;0;0;Winter;No Holiday;Yes"
"12/12/2017;228;12;-83;35;29;1967;-21;114;0;0;Winter;No Holiday;Yes"
"12/12/2017;225;13;-69;37;24;1955;-191;122;0;0;Winter;No Holiday;Yes"
"12/12/2017;258;14;-54;32;2;1930;-195;112;0;0;Winter;No Holiday;Yes"
"12/12/2017;250;15;-58;30;28;2000;-206;92;0;0;Winter;No Holiday;Yes"
"12/12/2017;248;16;-6;29;28;1983;-212;58;0;0;Winter;No Holiday;Yes"
"12/12/2017;305;17;-7;32;26;2000;-209;19;0;0;Winter;No Holiday;Yes"
"12/12/2017;529;18;-77;36;1;2000;-202;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;350;19;-82;43;11;2000;-185;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;260;20;-84;42;1;2000;-19;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;270;21;-88;43;14;1999;-191;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;256;22;-9;45;13;1999;-187;0;0;0;Winter;No Holiday;Yes"
"12/12/2017;173;23;-93;47;21;2000;-185;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;168;0;-95;48;13;1996;-184;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;183;1;-102;52;16;1997;-182;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;120;2;-104;53;18;1949;-181;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;79;3;-109;55;18;1913;-181;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;41;4;-114;58;13;1907;-18;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;68;5;-115;58;11;1923;-181;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;109;6;-119;57;11;1974;-187;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;310;7;-117;53;16;1998;-193;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;591;8;-114;47;33;2000;-204;0;0;0;Winter;No Holiday;Yes"
"13/12/2017;340;9;-111;46;34;1981;-204;1;0;0;Winter;No Holiday;Yes"
"13/12/2017;202;10;-95;39;21;1875;-209;6;0;0;Winter;No Holiday;Yes"
"13/12/2017;251;11;-81;35;18;1806;-209;96;0;0;Winter;No Holiday;Yes"
"13/12/2017;267;12;-65;30;29;1945;-212;117;0;0;Winter;No Holiday;Yes"
"13/12/2017;251;13;-58;28;29;1887;-214;123;0;0;Winter;No Holiday;Yes"
"13/12/2017;240;14;-47;27;29;1883;-208;112;0;0;Winter;No Holiday;Yes"
"13/12/2017;240;15;-49;26;31;1887;-215;89;0;0;Winter;No Holiday;Yes"
